?,[107],"""CommandBarFlyoutCommandBarOverflowPresenterStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""CommandBarOverflowPresenter"" FullName = ""Microsoft.UI.Xaml.Controls.CommandBarOverflowPresenter""}"
?,[108],"""CommandBarFlyoutAppBarButtonInnerBorderMargin""",object {string},"{2,2,2,2}",object {Microsoft.UI.Xaml.Thickness},"{2,2,2,2}"
?,[109],"""CommandBarFlyoutAppBarButtonStyleBase""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarButton""}"
?,[110],"""CommandBarFlyoutAppBarButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarButton""}"
?,[111],"""CommandBarFlyoutAppBarToggleButtonStyleBase""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""AppBarToggleButton"" FullName = ""Microsoft.UI.Xaml.Controls.AppBarToggleButton""}"
?,[112],"""CommandBarFlyoutAppBarToggleButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},{Microsoft.UI.Xaml.Style}
,[113],"""ControlFastAnimationAfterDuration""",object {string},"""00:00:00.168""",object {string},"""00:00:00.168"""
?,[114],"""BottomCornerRadiusFilterConverter""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[115],"""TopCornerRadiusFilterConverter""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[116],"""AppBarEllipsisButtonInnerBorderMargin""",object {string},"{2,6,6,6}",object {Microsoft.UI.Xaml.Thickness},"{2,6,6,6}"
?,[117],"""EllipsisButton""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""Button"" FullName = ""Microsoft.UI.Xaml.Controls.Button""}"
?,[118],"""CommandBarFlyoutAppBarEllipsisButtonInnerBorderMargin""",object {string},"{2,2,6,2}",object {Microsoft.UI.Xaml.Thickness},"{2,2,6,2}"
?,[119],"""CommandBarFlyoutEllipsisButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""Button"" FullName = ""Microsoft.UI.Xaml.Controls.Button""}"
